Item,Description,Link,Quantity,Unit Price,Subtotal,Remarks,total
GJM1555C1H2R2BB01D,2.2pF 0402 cap,https://www.mouser.com/ProductDetail/Murata-Electronics/GJM1555C1H2R2BB01D?qs=sGAEpiMZZMvsSlwiRhF8qsiXmy82%252BWKHWTNzQ0Q03SU%3D,1,$0.10,$0.10,,
GJM1555C1H3R9BB01D,3.9pF 0402 cap,https://www.mouser.com/ProductDetail/Murata-Electronics/GJM1555C1H3R9BB01D?qs=sGAEpiMZZMvsSlwiRhF8qnxGm16OHeZjDXy7L7Xmsn4%3D,1,$0.10,$0.10,,
GJM1555C1H7R5CB01J,7.5pF 0402 cap,https://www.mouser.com/ProductDetail/Murata-Electronics/GJM1555C1H7R5CB01J?qs=sGAEpiMZZMvsSlwiRhF8qnaoi2Fm8R542h504YCXKV4%3D,1,$0.10,$0.10,,
GCM1555C1H8R0BA16D,8pF 0402 cap,https://www.mouser.com/ProductDetail/Murata-Electronics/GCM1555C1H8R0BA16D?qs=sGAEpiMZZMvsSlwiRhF8qiE2qjJvMbsZW2NogaBF05IeDoLfwnic2w%3D%3D,2,$0.10,$0.20,hse loading,
GCM1555C1H9R0BA16D,9pF 0402 cap,https://www.mouser.com/ProductDetail/Murata-Electronics/GCM1555C1H9R0BA16D?qs=sGAEpiMZZMvsSlwiRhF8qiE2qjJvMbsZOuagzsCW91NzeK7nQoZXyQ%3D%3D,10,$0.03,$0.32,lse loading - only need 4,
GJM1555C1H180GB01D,18pF 0402 cap,https://www.mouser.com/ProductDetail/Murata-Electronics/GJM1555C1H180GB01D?qs=sGAEpiMZZMvsSlwiRhF8qnxGm16OHeZjQzgmMU3FLpQ%3D,1,$0.13,$0.13,,
GJM1555C1H220GB01D,22pF 0402 cap,https://www.mouser.com/ProductDetail/Murata-Electronics/GJM1555C1H220GB01D?qs=sGAEpiMZZMvsSlwiRhF8qn%2FMY8sF09EMO4lB7wgiHr8doSqMFP%252B%2Fnw%3D%3D,1,$0.11,$0.11,,
GJM1555C1H470GB01D,47pF 0402 cap,https://www.mouser.com/ProductDetail/Murata-Electronics/GJM1555C1H470GB01D?qs=sGAEpiMZZMvsSlwiRhF8qn%2FMY8sF09EM37VrBGgfPYvu2%252Bt0KXD%252BJQ%3D%3D,1,$0.12,$0.12,,
TBC05-02-1-G-G,1x2 screw terminal,https://www.mouser.com/ProductDetail/GCT/TBC05-02-1-G-G?qs=bN4HulGPsrHLrim%252BCGLcjw%3D%3D,2,$0.58,$1.16,,
TBC05-04-1-G-G,1x4 screw terminal,https://www.mouser.com/ProductDetail/GCT/TBC05-04-1-G-G?qs=bN4HulGPsrGVuxmfCAT6Qw%3D%3D,1,$1.10,$1.10,,
TBC05-06-1-G-G,1x6 screw terminal,https://www.mouser.com/ProductDetail/GCT/TBC05-06-1-G-G?qs=bN4HulGPsrG4e4SX9LRrHA%3D%3D,2,$1.53,$3.06,"really need a 1x12, but 2 1x6 is cheaper",
CRCW04021K00JNEDC,1k resistor,https://www.mouser.com/ProductDetail/Vishay/CRCW04021K00JNEDC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8garvpR08phvyf4zL0lOsWDA%3D%3D,11,$0.01,$0.15,,
CRCW04022K70FKEDC,2.7k resistor,https://www.mouser.com/ProductDetail/Vishay/CRCW04022K70FKEDC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8gGrAO7kvei6af3tT%252BBP3dpA%3D%3D,10,$0.01,$0.14,Only need 4,
CRCW04023K00FKED,3k resistor,https://www.mouser.com/ProductDetail/Vishay/CRCW04023K00FKED?qs=sGAEpiMZZMvdGkrng054txEw7b1YnvGuSEKdBeHn3Bo%3D,10,$0.02,$0.18,Only need 2,
CRCW04025K10FKEDC,5.1k resistor,https://www.mouser.com/ProductDetail/Vishay/CRCW04025K10FKEDC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8g7ZBluBwi17u4NpDZttvf0w%3D%3D,10,$0.02,$0.15,Only need 4,
CRCW040210K0FKEDC,10k resistor,https://www.mouser.com/ProductDetail/Vishay/CRCW040210K0FKEDC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8ghRTPC4LoFoV0V5heIyAs3Q%3D%3D,10,$0.02,$0.17,Only need 8,
CRCW040212K0FKEDC,12k resistor,https://www.mouser.com/ProductDetail/Vishay/CRCW040212K0FKEDC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8gVtjvjzanhv78ZVn0me3E9Q%3D%3D,10,$0.02,$0.15,Only need 2,
CRCW040224K0FKEDC,24k resistor,https://www.mouser.com/ProductDetail/Vishay/CRCW040224K0FKEDC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8gZaHJKsXWHLz1u6IJ%2FA7FgA%3D%3D,1,$0.10,$0.10,,
